level_0,level_1,logg,teff,feh,u_lambda_0,u_lambda_1,u_lambda_2,u_lambda_3,u_lambda_4,u_lambda_5,s_lambda_0,s_lambda_1,s_lambda_2,s_lambda_3,s_lambda_4,s_lambda_5,Dist,Hpmag_dr,BTmag_dr,VTmag_dr,BPmag_dr,RPmag_dr,BC_Hp,BC_BT,BC_VT,BC_BP,BC_RP,f_bol_Hp,f_bol_BT,f_bol_VT,f_bol_BP,f_bol_RP,f_bol_final,L_star_final
HD142860,1,4.413155539143853,6425.018857128669,-0.22747852787155826,0.1989318749299156,0.1989318749299156,0.1989318749299156,0.1989318749299156,0.1989318749299156,0.1989318749299156,1.0,1.0,1.0,1.0,1.0,1.0,11.159404010032125,3.9457496241938315,4.383616406418496,3.8638592346516014,3.9903427870861354,3.2938545965191057,-0.121,-0.556,-0.073,-0.155,0.45399999999999996,7.501724746490822e-07,7.481943289428985e-07,7.739577988032411e-07,7.428888837345365e-07,8.052284967778384e-07,7.489855872253719e-07,2.915375419064355
HD142860,2,4.289269201208299,6359.329755302128,-0.055239683254813196,0.23672074557801603,0.23672074557801603,0.23672074557801603,0.23672074557801603,0.23672074557801603,0.23672074557801603,1.0,1.0,1.0,1.0,1.0,1.0,11.188691925427579,3.9450260274156768,4.386869491950613,3.8790838685221734,3.9966321023477582,3.291931240997685,-0.11199999999999999,-0.5770000000000001,-0.06,-0.149,0.48,7.444757632670007e-07,7.605244450421683e-07,7.540973718924797e-07,7.34527624654496e-07,7.875687551411147e-07,7.541049723321012e-07,2.9507299285809823
HD182572,0,3.896237732291672,,0.5337195857963346,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,14.944275471562657,5.308979878524483,6.078150997767718,5.254989640765533,5.350277137624275,4.445906975357139,0.027000000000000003,-0.147,0.066,0.011000000000000001,0.231,1.864957860662589e-07,1.0779548615866177e-07,1.8908850071476922e-07,1.8220073290189317e-07,3.4221432457392756e-07,1.3927560612170064e-07,0.9722183444310475
HD182572,1,4.4265718315182045,,0.4592792334351843,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,14.921008967475208,5.309101704922011,6.092409424619653,5.245599442491668,5.350387134372322,4.44843203059677,-0.005,-0.21100000000000002,0.039,-0.019,0.23,1.9205264495948143e-07,1.12848867431705e-07,1.9553351059741327e-07,1.8728634787239326e-07,3.4173397825830927e-07,1.4453037844281557e-07,1.0057604368326174
HD182572,2,4.242844250725587,,0.48522432331557336,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,14.89748369136,5.308579296240993,6.0891399911592705,5.234125076894896,5.349686039897732,4.444682515394032,0.006999999999999999,-0.18899999999999997,0.049,-0.008,0.231,1.9003310136015276e-07,1.1091875294411601e-07,1.957992139122324e-07,1.8551821571726225e-07,3.4260048109110417e-07,1.425644923105307e-07,0.988954325955363
HD2151,0,3.530273191872559,5816.373080461062,-0.4030150653474026,0.3096164856828779,0.3096164856828779,0.3096164856828779,0.3096164856828779,0.3096164856828779,0.3096164856828779,1.0,1.0,1.0,1.0,1.0,1.0,7.481110119719108,2.9296688182664634,3.5611278437412026,2.8554040568552237,3.2921063660149,2.374877573928235,-0.19,-0.7659999999999999,-0.138,-0.242,0.527,2.0379496373160614e-06,1.93646582605923e-06,2.0801725058261054e-06,1.5311524310415035e-06,1.7551326490780387e-06,1.9770593505619625e-06,3.458524266077302
HD2151,1,3.4168948422100325,5746.88014400037,-0.2064259764107968,0.28296143802376733,0.28296143802376733,0.28296143802376733,0.28296143802376733,0.28296143802376733,0.28296143802376733,1.0,1.0,1.0,1.0,1.0,1.0,7.492759082601717,2.93119757657238,3.5252785693918796,2.8582813315753404,3.2735084556397287,2.354218187799686,-0.191,-0.82,-0.136,-0.249,0.5489999999999999,2.0369573885157894e-06,2.103534052555049e-06,2.0708490447784315e-06,1.5676806302794039e-06,1.7529668346692502e-06,2.0769033869393453e-06,3.644507577299858
HD2151,2,3.3203409243623807,5792.039064019412,-0.16474851704343277,0.30888214397190805,0.30888214397190805,0.30888214397190805,0.30888214397190805,0.30888214397190805,0.30888214397190805,1.0,1.0,1.0,1.0,1.0,1.0,7.514258448437626,2.9306005533392954,3.5180542755717674,2.852847324388997,3.308077567326539,2.368492525871694,-0.18,-0.797,-0.125,-0.237,0.5479999999999999,2.0175334936591695e-06,2.0731907592561613e-06,2.0602600669171747e-06,1.5018617190678223e-06,1.7316653393564065e-06,2.0509278530173644e-06,3.619609047253556
HD48737,0,3.9019092700332108,6448.457909981327,0.1212072202298963,0.2417187619891929,0.2417187619891929,0.2417187619891929,0.2417187619891929,0.2417187619891929,0.2417187619891929,1.0,1.0,1.0,1.0,1.0,1.0,18.347239027755784,3.4412927883836133,3.8541849137202733,3.37951471021815,3.558942568743899,2.842918491743572,-0.08199999999999999,-0.534,-0.028999999999999998,-0.121,0.484,1.1517119135269886e-06,1.1939523897853085e-06,1.1610611421828129e-06,1.0712330104059747e-06,1.1865705848232102e-06,1.1770561992819804e-06,12.384476754583037
HD48737,1,3.735433553543511,6440.0567656715,-0.011453435890793853,0.2064154350531238,0.2064154350531238,0.2064154350531238,0.2064154350531238,0.2064154350531238,0.2064154350531238,1.0,1.0,1.0,1.0,1.0,1.0,18.572273696979483,3.441990342761274,3.8580234621871585,3.3757386670668685,3.5500210371633636,2.856342872128222,-0.08900000000000001,-0.524,-0.038,-0.127,0.473,1.1584167740115178e-06,1.1788311131614218e-06,1.174804246872808e-06,1.086056851597871e-06,1.1839240035593021e-06,1.1706653775014602e-06,12.621237814567927
HD48737,2,3.4295538982005076,6441.726041016355,0.06403394431955917,0.22102057183209248,0.22102057183209248,0.22102057183209248,0.22102057183209248,0.22102057183209248,0.22102057183209248,1.0,1.0,1.0,1.0,1.0,1.0,18.438186178165928,3.4407717138842053,3.8591605887716116,3.384727635171795,3.5523204991372945,2.843550629159879,-0.075,-0.513,-0.023,-0.11599999999999999,0.48200000000000004,1.144859755272068e-06,1.165726687629849e-06,1.1491320050497502e-06,1.0728346085921496e-06,1.188066425466806e-06,1.1573799146867367e-06,12.298477713892622
HD82434,0,3.471634842149024,7375.041401511938,0.14903916202703688,0.2017048681206501,0.2017048681206501,0.2017048681206501,0.2017048681206501,0.2017048681206501,0.2017048681206501,1.0,1.0,1.0,1.0,1.0,1.0,,3.6579236244644195,4.004846341462781,3.6241963400370625,3.7060877118248308,3.1906813785247015,0.005,-0.24,0.049,-0.02,0.332,8.707460737093047e-07,7.927247871518295e-07,8.625463438382897e-07,8.52365552672988e-07,9.908055331317057e-07,8.239333017748196e-07,
HD82434,1,3.646189286887979,7408.973187878794,0.04611584531997147,0.20599365896698965,0.20599365896698965,0.20599365896698965,0.20599365896698965,0.20599365896698965,0.20599365896698965,1.0,1.0,1.0,1.0,1.0,1.0,,3.656641761317376,4.004016736944392,3.6259531677726438,3.696130579189083,3.1854155161843876,-0.01,-0.251,0.033,-0.033,0.316,8.839023124850085e-07,8.01409119047934e-07,8.739361568469741e-07,8.705801145752274e-07,1.0104033283826208e-06,8.344063964227639e-07,
HD82434,2,3.4282125648405946,7414.424902135589,0.10180804795542023,0.20628654761373447,0.20628654761373447,0.20628654761373447,0.20628654761373447,0.20628654761373447,0.20628654761373447,1.0,1.0,1.0,1.0,1.0,1.0,,3.6583110790007103,4.0069714826947385,3.6238777723177784,3.7065218481542166,3.1819816953367837,0.005,-0.22699999999999998,0.048,-0.019,0.32,8.704353957339711e-07,7.817580852099824e-07,8.635944959126719e-07,8.512404161780687e-07,1.0098765704418852e-06,8.172290094195778e-07,
HD61421,0,4.152398940380672,,-0.011448020661443058,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,3.502459346182247,,,,,,-0.03,-0.203,0.009000000000000001,-0.043,0.192,,,,,,,
HD61421,1,4.117956903395428,,0.06664016511419402,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,3.499850717902645,,,,,,-0.022000000000000002,-0.195,0.017,-0.036000000000000004,0.19699999999999998,,,,,,,
HD61421,2,4.372433912734216,,-0.11752004000606169,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,3.5040287055078223,,,,,,-0.051,-0.235,-0.011000000000000001,-0.063,0.185,,,,,,,
