B-V,M_fin,Mv,actual_M_ini,age_gyr,age_myr,filename,logL,logTe,mass_difference,mh,requested_M_ini
1.3324999999999996,0.5997852481,8.644,0.5997852481,7.2,7200.0,data/basti/7200z172y269p00o1d1e1.isc_john,-1.1353,3.5992,0.00021475189999997646,0.062,0.6
1.3322000000000003,0.6003894974,8.6351,0.6003894974,7.3,7300.0,data/basti/7300z172y269p00o1d1e1.isc_john,-1.13299,3.5994900000000003,0.0003894974000000495,0.062,0.6
1.3317999999999994,0.6010077493,8.6256,0.6010077493,7.4,7400.0,data/basti/7400z172y269p00o1d1e1.isc_john,-1.13058,3.5998099999999997,0.001007749300000027,0.062,0.6
1.332699999999999,0.5988832001,8.6493,0.5988832001,7.5,7500.0,data/basti/7500z172y269p00o1d1e1.isc_john,-1.13671,3.59904,0.0011167999000000206,0.062,0.6
1.3323,0.5995393925,8.6406,0.5995393925,7.6,7600.0,data/basti/7600z172y269p00o1d1e1.isc_john,-1.13436,3.5993,0.0004606074999999876,0.062,0.6
1.3320000000000007,0.6002078404,8.6313,0.6002078404,7.7,7700.0,data/basti/7700z172y269p00o1d1e1.isc_john,-1.13191,3.5996,0.00020784039999999226,0.062,0.6
1.3315000000000001,0.6008880786,8.621,0.6008880786,7.8,7800.0,data/basti/7800z172y269p00o1d1e1.isc_john,-1.1292799999999998,3.59995,0.000888078600000064,0.062,0.6
1.3323999999999998,0.5988684218,8.6434,0.5988684218,7.9,7900.0,data/basti/7900z172y269p00o1d1e1.isc_john,-1.13509,3.59922,0.001131578199999983,0.062,0.6
1.3322000000000003,0.5995817282,8.6339,0.5995817282,8.0,8000.0,data/basti/8000z172y269p00o1d1e1.isc_john,-1.13256,3.59951,0.00041827179999998076,0.062,0.6
1.3317000000000014,0.6003053799,8.6238,0.6003053799,8.1,8100.0,data/basti/8100z172y269p00o1d1e1.isc_john,-1.12991,3.5998300000000003,0.00030537990000001347,0.062,0.6
1.3312000000000008,0.6010389942000001,8.6128,0.6010389942000001,8.2,8200.0,data/basti/8200z172y269p00o1d1e1.isc_john,-1.1271,3.6002099999999997,0.0010389942000000874,0.062,0.6
1.3321000000000005,0.5992619968999999,8.6328,0.5992619968999999,8.3,8300.0,data/basti/8300z172y269p00o1d1e1.isc_john,-1.13226,3.59954,0.0007380031000000509,0.062,0.6
1.3315000000000001,0.6002571737,8.6198,0.6002571737,8.4,8400.0,data/basti/8400z172y269p00o1d1e1.isc_john,-1.12881,3.59995,0.00025717370000000184,0.062,0.6
1.3308999999999997,0.6012593631,8.6052,0.6012593631,8.5,8500.0,data/basti/8500z172y269p00o1d1e1.isc_john,-1.12511,3.60045,0.0012593631000000771,0.062,0.6
1.3317999999999994,0.5996247863,8.6241,0.5996247863,8.6,8600.0,data/basti/8600z172y269p00o1d1e1.isc_john,-1.12992,3.5998099999999997,0.00037521369999993226,0.062,0.6
1.331100000000001,0.6006487519,8.61,0.6006487519,8.7,8700.0,data/basti/8700z172y269p00o1d1e1.isc_john,-1.12626,3.6002699999999996,0.0006487519000000219,0.062,0.6
1.331900000000001,0.5990522663000001,8.6274,0.5990522663000001,8.8,8800.0,data/basti/8800z172y269p00o1d1e1.isc_john,-1.13079,3.59971,0.0009477336999998975,0.062,0.6
1.3312999999999988,0.6000965684,8.614,0.6000965684,8.9,8900.0,data/basti/8900z172y269p00o1d1e1.isc_john,-1.12722,3.6001300000000005,9.656840000005218e-05,0.062,0.6
1.3305999999999987,0.6011464499,8.5988,0.6011464499,9.0,9000.0,data/basti/9000z172y269p00o1d1e1.isc_john,-1.12335,3.60065,0.0011464499000000128,0.062,0.6
1.3314000000000004,0.5995996232999999,8.6166,0.5995996232999999,9.1,9100.0,data/basti/9100z172y269p00o1d1e1.isc_john,-1.12789,3.6000400000000004,0.000400376700000038,0.062,0.6
1.3308,0.600668,8.6018,0.600668,9.2,9200.0,data/basti/9200z172y269p00o1d1e1.isc_john,-1.1240700000000001,3.6005300000000005,0.0006680000000000019,0.062,0.6
1.3315000000000001,0.5991549596,8.6184,0.5991549596,9.3,9300.0,data/basti/9300z172y269p00o1d1e1.isc_john,-1.12837,3.59999,0.0008450403999999967,0.062,0.6
