period,night,grade,mode,sequence_science,observed_name,pndrs_name,matched_id,expected_role,actual_role,science_value,Primary,HD_ID,Ref_ID_1,Ref_ID_2,Ref_ID_3,n_raw_observations,status
104,2019-11-28,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,faint,iot_Psc,iot_Psc,iot_Psc,HD222368,SCI,SCI,True,iotPsc,HD222368,,,,16,WARNING:OIDIAM_NAME_MISMATCH;WARNING:PRIMARY_NOT_USED_BY_OLD_OIDIAM
104,2019-11-28,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,faint,iot_Psc,HD_43,HD_43,HD43,CAL,CAL,False,HD43,HD43,HD43,,,6,OK
104,2019-11-28,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,faint,iot_Psc,HR_67,HR67,HD1367,CAL,CAL,False,HR67,HD1367,HR67,,,6,OK
104,2019-11-29,AAAAAABBBBBBBBBBAAAAAABBBBBBAAAAAA,bright,pi3_Ori,HR_1534,HR1534,HD30545,CAL,CAL,False,HR1534,HD30545,HR1534,,,6,OK
104,2019-11-29,AAAAAABBBBBBBBBBAAAAAABBBBBBAAAAAA,bright,pi3_Ori,pi3_Ori,pi3_Ori,HD30652,SCI,SCI,True,pi3Ori,HD30652,,,,16,WARNING:OIDIAM_NAME_MISMATCH;WARNING:PRIMARY_NOT_USED_BY_OLD_OIDIAM
104,2019-11-29,AAAAAABBBBBBBBBBAAAAAABBBBBBAAAAAA,bright,pi3_Ori,HR_1618,HR1618,HD32263,CAL,CAL,False,HR1618,HD32263,HR1618,,,6,OK
104,2019-11-29,AAAAAABBBBBBBBBBAAAAAABBBBBBAAAAAA,bright,pi3_Ori,HR_1681,HR1681,HD33419,CAL,CAL,False,HR1681,HD33419,HR1681,,,6,OK
104,2019-11-28,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,faint,pi3_Ori,HD_30519,HD_30519,HD30519,CAL,CAL,False,HD30519,HD30519,HD30519,,,6,OK
104,2019-11-28,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,faint,pi3_Ori,pi3_Ori,pi3_Ori,HD30652,SCI,SCI,True,pi3Ori,HD30652,,,,16,WARNING:OIDIAM_NAME_MISMATCH;WARNING:PRIMARY_NOT_USED_BY_OLD_OIDIAM
104,2019-11-28,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,faint,pi3_Ori,HD_30507,HD_30507,HD30507,CAL,CAL,False,HD30507,HD30507,HD30507,,,6,OK
104,2019-11-28,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,faint,pi3_Ori,HR_1618,HR1618,HD32263,CAL,CAL,False,HR1618,HD32263,HR1618,,,6,OK
104,2019-11-29,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,bright,zet_Tuc,HD_220757,HD_220757,HD220757,CAL,CAL,False,HD220757,HD220757,,,,6,OK
104,2019-11-29,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,bright,zet_Tuc,zet_Tuc,zet_Tuc,HD1581,SCI,SCI,True,zetTuc,HD1581,,,,16,WARNING:OIDIAM_NAME_MISMATCH;WARNING:PRIMARY_NOT_USED_BY_OLD_OIDIAM
104,2019-11-29,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,bright,zet_Tuc,HD_68,HD_68,HD68,CAL,CAL,False,HD68,HD68,,,,6,OK
104,2019-11-29,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,bright,zet_Tuc,HD_8025,HD_8025,HD8025,CAL,CAL,False,HD8025,HD8025,,,,6,OK
104,2019-11-27,AAAAAA________________AAAAAAAAAAAA,faint,zet_Tuc,HR_8809,HR8809,HD218558,CAL,CAL,False,HR8809,HD218558,,,,6,WARNING:OIDIAM_NAME_MISMATCH;WARNING:PRIMARY_NOT_USED_BY_OLD_OIDIAM
104,2019-11-27,AAAAAA________________AAAAAAAAAAAA,faint,zet_Tuc,zet_Tuc,zet_Tuc,HD1581,SCI,SCI,True,zetTuc,HD1581,,,,16,WARNING:OIDIAM_NAME_MISMATCH;WARNING:PRIMARY_NOT_USED_BY_OLD_OIDIAM
104,2019-11-27,AAAAAA________________AAAAAAAAAAAA,faint,zet_Tuc,HD_68,HD_68,HD68,CAL,CAL,False,HD68,HD68,,,,6,OK
104,2019-11-27,AAAAAA________________AAAAAAAAAAAA,faint,zet_Tuc,HD_323,HD_323,HD323,CAL,CAL,False,HD323,HD323,,,,6,OK
105,2022-04-03,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,bright,HD124850,HD122135,HD122135,HD122135,CAL,CAL,False,HD122135,HD122135,,,,6,OK
105,2022-04-03,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,bright,HD124850,HD124850,HD124850,HD124850,SCI,SCI,True,HD124850,HD124850,HD124850,iot Vir,,16,OK
105,2022-04-03,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,bright,HD124850,HD125183,HD125183,HD125183,CAL,CAL,False,HD125183,HD125183,,,,6,OK
105,2022-04-03,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,bright,HD124850,HD125490,HD125490,HD125490,CAL,CAL,False,HD125490,HD125490,,,,6,OK
105,2022-03-31,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,faint,HD124850,HD121981,HD121981,HD121981,CAL,CAL,False,HD121981,HD121981,,,,6,OK
105,2022-03-31,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,faint,HD124850,HD124850,HD124850,HD124850,SCI,SCI,True,HD124850,HD124850,HD124850,iot Vir,,16,OK
105,2022-03-31,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,faint,HD124850,HD123255,HD123255,HD123255,CAL,CAL,False,HD123255,HD123255,,,,6,OK
105,2022-03-31,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,faint,HD124850,HD125490,HD125490,HD125490,CAL,CAL,False,HD125490,HD125490,,,,6,OK
